"productcategory","mediatype","platform","slope","min_spend","max_spend","n"
"Other","Social - Pinterest","Pinterest",91.6273,0,474,9646
"Other","Social - FB/IG","Facebook",82.2761,0,10909,10796
"Other","Bing Search","Bing",3.3551,0,541,5219
"Other","Programmatic Video","discovery",36.5491,0,2142,1692
"Other","Programmatic Display","discovery",27.4809,0,22421,52
"Other","Programmatic Display","padsquad",68.5564,0,3729,2534
"Other","Programmatic Display","the trade desk",220.2158,0,4145,1575
"Other","Programmatic Display","kargo",124.7605,0,564,1060
"Toilets","Social - Pinterest","Pinterest",69.8756,0,1252,5596
"Toilets","Social - FB/IG","Facebook",124.293,0,3983,18698
"Toilets","Bing Search","Bing",123.4833,0,1632,6526
"Toilets","Direct Display","new york times_pg",51.973,0,5192,3477
"Toilets","Direct Display","uncrate",50.085,0,957,411
"Toilets","OOH","big outdoor",65.7552,0,23044,8
"Toilets","OOH","clear channel",57.7892,39561,67539,8
"Toilets","National TV","discovery",192.191,14526,113455,9
"Multiple","Social - FB/IG","Facebook",105.5983,0,11917,21888
"Multiple","Bing Search","Bing",5.876,0,2308,13520
"Bath Sinks","Social - FB/IG","Facebook",257.5944,0,722,4439
"Bath Faucets","Social - Pinterest","Pinterest",141.7047,0,181,834
"Bath Faucets","Social - FB/IG","Facebook",136.3193,0,465,4927
"Kitchen Sinks","Social - FB/IG","Facebook",267.8804,0,343,3344
"Kitchen Sinks","Bing Search","Bing",57.1451,0,1507,10571
"Showers/Baths","Social - Pinterest","Pinterest",162.3006,0,5527,4287
"Showers/Baths","Social - FB/IG","Facebook",184.1421,0,7447,16361
"Showers/Baths","Bing Search","Bing",105.9903,0,4485,12392
"Showers/Baths","Direct Display","discovery",70.694,0,15798,2548
"Showers/Baths","National TV","scatter",215.7597,12129,141458,15
"Showers/Baths","Social - TikTok","TikTok",221.9989,0,2890,1411
"Showers/Baths","Social - Reddit","Reddit",174.236,0,1245,1899
"Showers/Baths","Direct Video","hulu.com",26.0803,0,2439,3588
"Showers/Baths","Direct Video","hbomax.com",13.6221,0,1489,3581
"Showers/Baths","Direct Video","lg - us",25.8478,0,13414,3541
"Kitchen Faucets","Social - Pinterest","Pinterest",187.7129,0,47,420
"Kitchen Faucets","Social - FB/IG","Facebook",217.7424,0,999,10037
